里,公園數量
長安里,3
長安,1
八仙,1
清江里,4
中央里,3
中庸里,1
奇岩里,8
溫泉,1
文化里,4
建民里,5
林泉里,2
"長安里,林泉里,溫泉里",1
秀山里,1
"尊賢里,吉利里",1
立農里,2
永欣里,4
"永和里,永欣里",1
東華里,2
林泉,3
關渡里,12
湖山里,3
泉源里,2
洲美里,1
榮光里,2
稻香里,4
振華里,2
榮華里,4
桃源里,3
中心里,1
"中心里,開明",1
福興里,2
一德里,6
裕民里,2
豐年里,3
"中央里,大同里,八仙里,豐年里",1
中和里,1
永和,1
"立農里,八仙里",2
立賢里,3
吉慶里,1
"建民里,吉慶里,福興里,立賢里",1
大同里,4
八仙里,6
"八仙里,一德里",1
"清江里,奇岩里",4
"永明里,振華里",1
永和里,1
榮華,1
"桃源里,豐年里,一德里",2
"大同里,豐年里",1
翠山里,2
福林里,10
陽明里,3
天母里,3
天和里,3
天壽里,6
天福里,2
臨溪里,9
岩山里,3
名山里,4
公館里,3
蘭興里,5
福志里,2
福德里,2
明勝里,2
社園里,2
福安里,1
社子里,1
前港里,2
後港里,3
福佳里,5
富光里,1
承德里,3
福中里,1
福華里,1
福順里,1
德華里,1
德行里,2
舊佳里,2
三玉里,1
社新里,1
"社園里,社子里",1
葫東里,1
葫蘆里,1
菁山里,2
"公館里,菁山里",1
新安里,1
天玉里,1
"天母里,天山里",1
忠誠里,1
永倫里,1
聖山里,1
"天山里,天玉里",1
中吉里,2
劍潭里,6
下埤里,1
金泰里,12
成功里,14
大佳里,1
大直里,4
中山里,1
中原里,2
正守里,2
集英里,4
永安里,3
朱園里,1
興亞里,3
江山里,2
朱馥里,2
朱崙里,2
力行里,1
江寧里,1
康樂里,3
中庄里,2
圓山里,4
新庄里,2
復華里,5
恆安里,1
埤頭里,1
北安里,1
新喜里,2
新福里,1
聚葉里,2
行政里,1
行仁里,1
松江里,1
新生里,1
"成功里,大直里,北安里",1
西安里,4
寶湖、石潭,1
石潭里,3
寶湖里,3
港墘里,1
秀湖里,5
港富里,4
五分里,2
湖元里,5
瑞光、瑞陽、港墘,1
瑞陽里,2
西湖里,2
西康里,5
安泰里,1
五分、南湖,1
"五分里,南湖里",1
