id,Address,Response_Address,Response_X,Response_Y
1,承德路四段200號,臺北市士林區前港里3鄰承德路四段200號,121.522012;121.522012;121.522012;120.697169;120.697169;120.697694;120.697694;121.221425,25.087624;25.087624;25.087624;24.234223;24.234223;24.234893;24.234893;24.951006
2,民權西路194號,臺北市大同區民權里1鄰民權西路194號,121.514233;121.514233;121.514233;120.679038;120.679038;120.677105;120.677105;121.373372,25.062767;25.062767;25.062767;23.963795;23.963795;23.963079;23.963079;23.496383
3,和平東路二段2號,臺北市大安區龍門里8鄰和平東路二段2號,121.535319;121.535319;121.535319;121.535319;121.535319;121.199321;121.199321;121.199321;120.974177;120.974177,25.025713;25.025713;25.025713;25.025713;25.025713;25.060262;25.060262;25.060262;23.956564;23.956564
4,建國南路二段75之1號,臺北市大安區龍圖里6鄰建國南路二段75之1號,121.538139;121.538139;121.538139;120.661811;120.661811;120.661923;120.661923;120.551709,25.030951;25.030951;25.030951;24.126414;24.126414;24.126536;24.126536;24.088017
5,金山南路二段77號,臺北市大安區永康里9鄰金山南路二段77號,121.527198,25.031480
6,仁愛路三段1號,臺北市大安區民輝里2鄰仁愛路三段1號,121.533195;121.533195;121.533195;121.459970;121.515068;121.353650;121.459970;121.515068;121.353650;120.693757,25.038480;25.038480;25.038480;24.981237;25.013442;24.956858;24.981237;25.013442;24.956858;24.044008
7,建國南路一段57之1號,臺北市大安區民輝里23鄰建國南路一段42號,121.536225;121.536225;121.536225;121.537471;121.537471;121.537471;120.647407;120.647407;120.551552,25.044017;25.044017;25.044017;25.043558;25.043558;25.043558;24.118200;24.118200;24.088569
8,富陽街129號,臺北市大安區黎和里2鄰富陽街129號,121.556910,25.019120
9,基隆路二段162號,臺北市大安區臨江里15鄰基隆路二段162號,,
10,八德路二段214號,臺北市中山區埤頭里4鄰八德路二段214號,120.534921;120.534921;120.534921;120.534921;120.534921;120.534921;120.534921;120.534921;121.161983;121.161983,24.268910;24.268910;24.268910;24.268910;24.268910;24.268910;24.268910;24.268910;23.052472;23.052472
11,建國北路三段91之1號,臺北市中山區行孝里9鄰建國北路三段91之1號,120.672090;120.672090;120.672090;120.672090;121.226861;121.226861;121.226861;120.549637;120.549637;120.978134,24.131599;24.131599;24.131599;24.131599;24.958078;24.958078;24.958078;24.093959;24.093959;23.971644
12,吉林路31號,臺北市中山區興亞里16鄰吉林路31號,120.978084;120.978084;120.978084;120.978084;121.631268;121.631268;121.631268;121.161672;121.161672;120.469688,24.760987;24.760987;24.760987;24.760987;23.996941;23.996941;23.996941;22.786446;22.786446;22.616339
13,明水路661號,臺北市中山區成功里3鄰明水路661號,121.550566,25.084316
14,新生北路二段71號,臺北市中山區中原里12鄰新生北路二段71號,121.528041;121.528041;121.528041;121.528041;120.719549;120.719549;120.719549;120.240639;121.197201;121.197201,25.056546;25.056546;25.056546;25.056546;24.252789;24.252789;24.252789;23.187626;25.068147;25.068147
15,長安東路二段34號,臺北市中山區興亞里11鄰長安東路二段34號,121.531316;121.531316;120.733633,25.048366;25.048366;24.157197
16,承德路六段359號,臺北市北投區建民里20鄰承德路六段359號,121.511026;121.511026;121.511026;120.699780;120.699780;121.221425,25.106460;25.106460;25.106460;24.237000;24.237000;24.951006
17,延平北路六段505號,臺北市士林區永倫里23鄰延平北路六段505號,121.498260;121.498260;120.486767,25.093133;25.093133;23.721433
18,濱江街373號,臺北市松山區莊敬里28鄰濱江街373號,121.551928;121.551928;120.913861;120.898113,25.072592;25.072592;24.685227;24.672991
19,重慶北路四段198號,臺北市士林區葫東里1鄰重慶北路四段198號,121.511746,25.085100
20,中山北路五段465號,臺北市士林區福林里12鄰中山北路五段465號,121.443601;121.443601;121.443601;121.443601;121.443601;120.294791;120.294791;120.294791;120.294791;120.824648,25.188175;25.188175;25.188175;25.188175;25.188175;22.799833;22.799833;22.799833;22.799833;24.574349
21,士林區-陽明山格致路3號,臺北市士林區陽明里6鄰格致路3號,,
22,文林路100號,臺北市士林區仁勇里1鄰文林路100號,121.132504;121.132504;121.132504;121.087098;121.087098;121.087098;121.087098;120.889154;120.889154;120.889154,25.016855;25.016855;25.016855;24.729008;24.729008;24.729008;24.729008;24.698684;24.698684;24.698684
23,中山北路五段570號,臺北市士林區福林里7鄰中山北路五段570號,121.443601;121.443601;121.443601;121.443601;121.443601;120.294791;120.294791;120.294791;120.294791;120.824648,25.188175;25.188175;25.188175;25.188175;25.188175;22.799833;22.799833;22.799833;22.799833;24.574349
24,至誠路二段40號,臺北市士林區名山里10鄰至誠路二段40號,121.528746;121.528746;120.341487,25.101920;25.101920;22.631885
25,重慶北路四段141號,臺北市士林區福順里13鄰重慶北路四段141號,121.512044,25.082799
26,大業路157號,臺北市北投區八仙里5鄰大業路157號,120.651522;120.651522;120.200417;120.200417;120.200417;120.200417;120.200417;121.846539;121.846539;121.130758,24.153445;24.153445;22.868162;22.868162;22.868162;22.868162;22.868162;24.624296;24.624296;22.752732
27,承德路七段139號,臺北市北投區福興里1鄰承德路七段139號,121.508734;121.508734;121.508734;120.696687;120.696687;121.221425,25.112528;25.112528;25.112528;24.233913;24.233913;24.951006
28,濱江街195號,臺北市中山區大佳里6鄰濱江街195號,121.539525;121.539525;120.913861;120.898113,25.072735;25.072735;24.685227;24.672991
29,敦化北路342之1號,臺北市松山區精忠里11鄰敦化北路342之1號,121.550583,25.062609
